External ID,Summary,Issue Type,Story Points,Due Date,Sprint,Epic Link,Depends On,Labels,Description
RDMI-010,Scaffold apps/api FastAPI + /healthz,Task,2,2026-06-02,Sprint 1 - Plan A foundation,RDMI-EPIC-1,RDMI-009,backend,"Plan A Task 3. pyproject.toml, main.py with healthz, Pydantic settings."
RDMI-011,Scaffold apps/web Vite/React/Zustand,Task,2,2026-06-04,Sprint 1 - Plan A foundation,RDMI-EPIC-1,RDMI-009,frontend,"Plan A Task 4. package.json, vite.config.ts, tsconfig.json, App.tsx."
RDMI-012,Create packages/types shared types,Task,1,2026-06-04,Sprint 1 - Plan A foundation,RDMI-EPIC-1,RDMI-009,frontend;shared,"Plan A Task 5. User, Org, Site, TenantContext, LoginResponse types."
RDMI-013,Postgres initial migration (indexes + role CHECKs),Task,3,2026-06-05,Sprint 1 - Plan A foundation,RDMI-EPIC-1,RDMI-010,backend;db,"Plan A Task 6. Alembic init + 0001_init.py with orgs/sites/users/memberships/sessions/audit_log + ix_sessions_refresh_hash, ix_site_memberships_site_id, role CHECK constraints."
RDMI-014,SQLAlchemy ORM models + async session,Task,2,2026-06-05,Sprint 1 - Plan A foundation,RDMI-EPIC-1,RDMI-013,backend;db,"Plan A Task 7. core/db/models.py + session.py."
RDMI-015,Argon2 password hashing (TDD),Task,1,2026-06-08,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-014,backend;auth,"Plan A Task 8. argon2-cffi hash_password / verify_password."
RDMI-016,JWT encode/decode (TDD),Task,2,2026-06-08,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-014,backend;auth,"Plan A Task 9. HS256, claims structure, expiry."
RDMI-017,Pytest fixtures (db / app / seeded users),Task,2,2026-06-08,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-015;RDMI-016,backend;testing,"Plan A Task 10. conftest.py with db_session, app_client, seeded fixture. asyncio_mode=auto - no event_loop override."
RDMI-018,resolve_tenant_ctx service (TDD),Task,3,2026-06-09,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-017,backend;tenancy,"Plan A Task 11. Super -> org_admin -> site_membership -> 403."
RDMI-019,Session/refresh rotation (TDD),Task,2,2026-06-09,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-017,backend;auth,"Plan A Task 12. create/find/rotate/revoke refresh tokens."
RDMI-020,Auth routes login/refresh/logout (TDD),Task,4,2026-06-10,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-019,backend;auth,"Plan A Task 13. POST /auth/login, /refresh, /logout with cookie."
RDMI-021,get_current_user dependency,Task,1,2026-06-11,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-016,backend;auth,"Plan A Task 14. Authorization: Bearer parsing + JWT verify."
RDMI-022,Tenant middleware + require_role (TDD),Task,3,2026-06-11,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-018;RDMI-021,backend;tenancy,"Plan A Task 15. X-Site-Id header -> TenantContext + role-gated routes."
RDMI-023,SiteAdapter Protocol + DTOs (async),Task,2,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-018,backend;registry,"Plan A Task 16. Async protocol: health_trend, device_ranking, device_detail, chat_context."
RDMI-024,_default adapter stub (async),Task,2,2026-06-15,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-023,backend;adapter,"Plan A Task 17. Returns empty TrendSeries / Ranking; reads config.devices."
RDMI-025,Adapter dispatch + UnknownAdapter (TDD),Task,1,2026-06-15,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-024,backend;registry,"Plan A Task 18. get_adapter(site) -> SiteAdapter."
RDMI-026,Dashboard routes through adapter (TDD),Task,3,2026-06-15,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-022;RDMI-025,backend;dashboard,"Plan A Task 19. /dashboard/health-trend|ranking|devices/:id with await adapter.*."
RDMI-027,Cross-tenant 403 parameterized suite,Task,2,2026-06-16,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-026,backend;testing;security,"Plan A Task 20. Every site-scoped route asserts 403 for foreign user + 200 for super-admin."
RDMI-028,Local-dev seed (incl. operator user),Task,2,2026-06-16,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-014,backend;tooling,"Plan A Task 21. viewer.wach, viewer.cyberview, operator.wach, super @ example.com."
RDMI-029,Frontend auth store + API client,Task,2,2026-06-17,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-020,frontend;auth,"Plan A Task 22. useAuthStore + apiFetch with Auth + X-Site-Id + 401-refresh."
RDMI-030,Login page + protected shell + stub dashboard,Task,3,2026-06-17,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-029,frontend,"Plan A Task 23. LoginPage, ProtectedRoute, AppShell, DashboardStub."
RDMI-031,Frontend Jest + login smoke test,Task,1,2026-06-18,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-030,frontend;testing,"Plan A Task 24. jest.config.ts + App.test.tsx."
RDMI-032,CI workflow (api + web),Task,2,2026-06-18,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-027;RDMI-031,ci,"Plan A Task 25. .github/workflows/ci.yml: lint, typecheck, test, build."
RDMI-033,Plan A integration review + walkthrough,Task,2,2026-06-19,Sprint 3 - Plan A close,RDMI-EPIC-1,RDMI-032,review,"End-to-end smoke: docker up, migrate, seed, login as super, viewer.wach, viewer.cyberview, confirm 403 matrix."
RDMI-034,Port AHU_LEVEL_CONFIG + e\d{4} validation,Task,2,2026-06-22,Sprint 4 - WACH port,RDMI-EPIC-1,RDMI-033,backend;wach,"Plan B Task 1. apps/api/sites/wach/config.py + tests."
RDMI-035,Port scoring engine (uses RDMI-004 note),Task,3,2026-06-22,Sprint 4 - WACH port,RDMI-EPIC-1,RDMI-004;RDMI-034,backend;wach,"Plan B Task 2 [BLOCKED until real formula from RDMI-004 is inlined]. compute_health_score + compute_ranking."
RDMI-036,CI grep guard for scoring placeholder,Task,1,2026-06-23,Sprint 4 - WACH port,RDMI-EPIC-1,RDMI-035,ci;wach,"Plan B Task 2 step 7. Fail CI if 'PORTED FROM WACH (replace placeholder' remains in scoring.py."
RDMI-037,Influx wrapper async + query_all_device_scores,Task,3,2026-06-23,Sprint 4 - WACH port,RDMI-EPIC-1,RDMI-034,backend;wach;influx,"Plan B Task 3. asyncio.to_thread wraps. Single grouped query for ranking - no N+1."
RDMI-038,RAG client (site-scoped Chroma),Task,2,2026-06-24,Sprint 4 - WACH port,RDMI-EPIC-1,RDMI-033,backend;rag,"Plan B Task 4. core/llm/rag.py with collection_name = site:{uuid}."
RDMI-039,Qwen LM Studio async client,Task,3,2026-06-24,Sprint 4 - WACH port,RDMI-EPIC-1,RDMI-033,backend;llm,"Plan B Task 5. complete + stream via httpx with mock transport tests."
RDMI-040,WachAdapter + protocol conformance suite,Task,4,2026-06-25,Sprint 4 - WACH port,RDMI-EPIC-1,RDMI-035;RDMI-037;RDMI-038,backend;wach,"Plan B Task 6. Async WachAdapter; conformance run against _default + wach."
RDMI-041,WACH dashboard integration test (mocked Influx),Task,2,2026-06-26,Sprint 4 - WACH port,RDMI-EPIC-1,RDMI-040,backend;wach;testing,"Plan B Task 7. Promote site_a to wach adapter; mock query_health_trend."
RDMI-042,Chat prompt builder (TDD),Task,2,2026-06-26,Sprint 4 - WACH port,RDMI-EPIC-1,,backend;chat,"Plan B Task 8. build_prompt(persona, chat_ctx, history, query)."
RDMI-043,Rule-based fallback (ENABLE_LLM=false),Task,2,2026-06-29,Sprint 5 - Chat + dashboard,RDMI-EPIC-1,RDMI-042,backend;chat,"Plan B Task 9. fallback_answer using structured_facts.ranking."
RDMI-044,Chat orchestrator + SSE route (TDD),Task,4,2026-06-29,Sprint 5 - Chat + dashboard,RDMI-EPIC-1,RDMI-039;RDMI-042;RDMI-043,backend;chat,"Plan B Task 10. /chat POST -> EventSourceResponse. sse-starlette dep."
RDMI-045,Chat RAG-isolation test,Task,1,2026-06-30,Sprint 5 - Chat + dashboard,RDMI-EPIC-1,RDMI-044,backend;testing;security,"Plan B Task 11. Confirms RAG search is only called with own site_id."
RDMI-046,packages/ui - lift WACH components,Task,4,2026-06-30,Sprint 5 - Chat + dashboard,RDMI-EPIC-1,RDMI-033,frontend;ui,"Plan B Task 12. ScoreCard, CombinedScoresChart, LevelSelectorBar, Skeleton; strip Zustand reads from components."
RDMI-047,DashboardPage wired to /api/dashboard/*,Task,3,2026-07-01,Sprint 5 - Chat + dashboard,RDMI-EPIC-1,RDMI-046,frontend;dashboard,"Plan B Task 13. HealthTrendCard + RankingTable + range selector with React Query."
RDMI-048,Chat panel SSE + history forwarding,Task,3,2026-07-02,Sprint 5 - Chat + dashboard,RDMI-EPIC-1,RDMI-044;RDMI-047,frontend;chat,"Plan B Task 14. useChatStream sends prior turns as history (not empty)."
RDMI-049,Seed update - WACH site to wach adapter,Task,1,2026-07-02,Sprint 5 - Chat + dashboard,RDMI-EPIC-1,RDMI-040,backend;tooling,"Plan B Task 15. seed.py sets WACH site adapter=wach + persona."
RDMI-050,Plan B WACH dry-run + bug-bash,Task,3,2026-07-03,Sprint 5 - Chat + dashboard,RDMI-EPIC-1,RDMI-048;RDMI-049,review,"Manual end-to-end: WACH viewer login -> dashboard charts -> multi-turn chat with LM Studio on/off."
RDMI-051,Generic Influx aggregator for _default,Task,4,2026-07-06,Sprint 6 - Cyberview + admin,RDMI-EPIC-1,RDMI-050,backend;adapter,"Plan C Task 1. core/engine/default.py + DefaultAdapter rewritten async with single grouped Flux."
RDMI-052,Cyberview seed from scripts/research,Task,3,2026-07-06,Sprint 6 - Cyberview + admin,RDMI-EPIC-1,RDMI-051,backend;tooling;cyberview,"Plan C Task 2. seed_cyberview.py reads $WACH/scripts/research/cyberview/. Fallback fixtures included."
RDMI-053,Admin routes - orgs/sites/users CRUD (TDD),Task,4,2026-07-07,Sprint 6 - Cyberview + admin,RDMI-EPIC-1,RDMI-050,backend;admin,"Plan C Task 3. Role-gated create/list endpoints under /admin."
RDMI-054,Knowledge upload + chunk/embed (TDD),Task,4,2026-07-08,Sprint 6 - Cyberview + admin,RDMI-EPIC-1,RDMI-038;RDMI-053,backend;rag,"Plan C Task 4. POST /admin/sites/:id/knowledge multipart + chunker."
RDMI-055,/me/sites + ThemeProvider + Gate + SiteSwitcher,Task,4,2026-07-09,Sprint 6 - Cyberview + admin,RDMI-EPIC-1,RDMI-053,frontend;shell,"Plan C Task 5. index.css defaults (no flash). SiteSwitcher renders site.name not UUID."
RDMI-056,Frontend admin pages (Orgs/Sites/Users/Knowledge),Task,4,2026-07-10,Sprint 6 - Cyberview + admin,RDMI-EPIC-1,RDMI-053;RDMI-054;RDMI-055,frontend;admin,"Plan C Task 6. AdminPage + OrgList + SiteList + UserList + KnowledgeUpload."
RDMI-057,Playwright E2E suite (4 scenarios),Task,4,2026-07-13,Sprint 7 - E2E + deploy,RDMI-EPIC-1,RDMI-056,testing;e2e,"Plan C Task 7. wach-viewer, cyberview-viewer, super-admin, operator-audit (last skipped)."
RDMI-058,E2E CI workflow (nightly + PR),Task,2,2026-07-14,Sprint 7 - E2E + deploy,RDMI-EPIC-1,RDMI-057,ci;e2e,"Plan C Task 8. .github/workflows/e2e.yml with postgres + chroma services + Playwright."
RDMI-059,Vercel deploy config (vercel.json),Task,2,2026-07-15,Sprint 7 - E2E + deploy,RDMI-EPIC-1,RDMI-056,deploy;vercel,"Plan C Task 9. vercel.json with build/rewrites/headers - NOT vercel.ts."
RDMI-060,Railway service config + Dockerfile,Task,2,2026-07-15,Sprint 7 - E2E + deploy,RDMI-EPIC-1,RDMI-056,deploy;railway,"Plan C Task 10. infra/railway.toml + apps/api/Dockerfile."
RDMI-061,Adapter author guide docs,Task,1,2026-07-16,Sprint 7 - E2E + deploy,RDMI-EPIC-1,RDMI-040;RDMI-051,docs,"Plan C Task 11. docs/adapters/README.md: when to use _default vs custom, how to register."
RDMI-062,MVP acceptance test (spec section 8 four scenarios),Task,2,2026-07-16,Sprint 7 - E2E + deploy,RDMI-EPIC-1,RDMI-058;RDMI-059;RDMI-060,review,"Plan C Task 12. Run the four spec scenarios live, log results in docs/acceptance/."
RDMI-063,Stakeholder demo + retro + Phase 2 brainstorm,Task,3,2026-07-17,Sprint 7 - E2E + deploy,RDMI-EPIC-1,RDMI-062,stakeholders,"Demo to stakeholders, retro on planning accuracy, kick off Phase 2 (MQTT ingestion) brainstorm."
RDMI-006a,JWT: add iss + aud claims,Task,1,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-016,backend;auth;security;threat-model,"G1. Encode iss=rdm-insight-api, aud=rdm-insight-web; verify on decode. Update test_jwt.py."
RDMI-006b,JWT: alg:none regression test,Task,0.5,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-016,backend;auth;security;threat-model,"G2. Add explicit test asserting decode_access_token rejects unsigned tokens."
RDMI-006c,Refresh cookie: secure=True env-driven,Task,0.5,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-020,backend;auth;security;threat-model,"G3. Add cookie_secure setting (default True, dev override)."
RDMI-006d,Refresh cookie: samesite=strict,Task,0.5,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-020,backend;auth;security;threat-model,"G4. Tighten from lax."
RDMI-006e,Atomic rotate_session,Task,1,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-019,backend;auth;security;threat-model,"G5. Single transaction for DELETE+INSERT; add commit=False flag on create_session."
RDMI-006f,Refresh-token reuse detection,Task,2,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-019,backend;auth;security;threat-model,"G6. Track replaced-by hash; on reuse of a hash whose row is gone, log + alert. Full session-family revoke optional. Add migration."
RDMI-006g,Missing X-Site-Id -> 403 (not 400),Task,0.5,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-022,backend;tenancy;security;threat-model,"G7. Explicit if site_id is None: raise HTTPException(403) in tenant middleware."
RDMI-006h,Collapse TenancyError to single 403 response,Task,0.5,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-018,backend;tenancy;security;threat-model,"G8. Always return {detail: forbidden} to client; keep distinct reasons in server logs."
RDMI-006i,Audit-log super-admin cross-org access,Task,1,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-018,backend;tenancy;security;threat-model,"G9. Append audit_log row with action=super_admin_site_access when is_super_admin=true and accessed org != user own org context."
RDMI-006j,Router conformance test,Task,2,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-022,backend;tenancy;security;threat-model;ci,"G10 CRITICAL - gates merge to main. New tests/integration/test_router_conformance.py walks app.routes, asserts every /api/* route declares tenant_ctx dep or is on explicit allow-list (/healthz, /auth/*, /me/sites)."
RDMI-006k,Chat collection-isolation test (placeholder),Task,0.5,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-022,backend;testing;security;threat-model,"G11. Create empty tests/integration/test_chat_isolation.py; real assertions land in Plan B (link to RDMI-044)."
RDMI-006l,X-Site-Id flip cross-tenant test,Task,0.5,2026-06-12,Sprint 2 - Auth + tenancy,RDMI-EPIC-1,RDMI-022,backend;testing;security;threat-model,"G12. Viewer-A sends X-Site-Id: site-B -> must 403, not 500 or silent fallback."
